,bib,name,surname,t_bike,t_run,t_swim,t_tranzit_1,t_tranzit_2,total_time
0,1,Олександр,Кудрик,0 days 00:34:38.000000000,0 days 00:24:04.000000000,0 days 00:16:20.000000000,0 days 00:01:24.000000000,0 days 00:01:16.000000000,0 days 01:17:42.000000000
1,2,Денис,Шиков,0 days 00:41:55.000000000,0 days 00:35:10.000000000,0 days 00:18:58.000000000,0 days 00:02:23.000000000,0 days 00:01:14.000000000,0 days 01:39:40.000000000
2,3,Сергій,Муравинець,0 days 00:38:08.000000000,0 days 00:24:50.000000000,0 days 00:13:05.000000000,0 days 00:01:52.000000000,0 days 00:01:19.000000000,0 days 01:19:14.000000000
3,4,Максим,П'ятенко,0 days 00:44:58.000000000,0 days 00:30:06.000000000,0 days 00:15:12.000000000,0 days 00:02:53.000000000,0 days 00:01:02.000000000,0 days 01:34:11.000000000
4,5,Сергій,Поліщук,0 days 00:41:22.000000000,0 days 00:28:40.000000000,0 days 00:22:13.000000000,0 days 00:02:03.000000000,0 days 00:02:13.000000000,0 days 01:36:31.000000000
5,6,Андрей,Кузьмінчук,0 days 00:40:30.000000000,0 days 00:26:58.000000000,0 days 00:16:29.000000000,0 days 00:03:43.000000000,0 days 00:01:20.000000000,0 days 01:29:00.000000000
6,7,Сергей,Гуменюк,0 days 00:55:27.000000000,0 days 00:30:01.000000000,0 days 00:22:42.000000000,0 days 00:02:35.000000000,0 days 00:01:15.000000000,0 days 01:52:00.000000000
7,8,Олександр,Прит,0 days 00:38:39.000000000,0 days 00:24:28.000000000,0 days 00:16:30.000000000,0 days 00:02:34.000000000,0 days 00:01:05.000000000,0 days 01:23:16.000000000
8,9,Андрій,Крецул,0 days 00:42:45.000000000,0 days 00:26:54.000000000,0 days 00:15:05.000000000,0 days 00:02:20.000000000,0 days 00:01:08.000000000,0 days 01:28:12.000000000
9,10,Владимир,Гонцов,0 days 00:39:42.000000000,0 days 00:25:50.000000000,0 days 00:20:20.000000000,0 days 00:03:11.000000000,0 days 00:01:18.000000000,0 days 01:30:21.000000000
10,11,Олександр,Чурилович,0 days 00:43:15.000000000,0 days 00:28:15.000000000,0 days 00:21:55.000000000,0 days 00:02:26.000000000,0 days 00:01:05.000000000,0 days 01:36:56.000000000
