,bib,brackets,gender,name,surname,t_bike,t_run,t_swim,t_tranzit_1,t_tranzit_2,total_time
0,1,ALL; M; M3039,M,Олександр,Кудрик,0 days 00:52:22.000000000,0 days 01:17:42.000000000,0 days 00:16:20.000000000,0 days 00:17:44.000000000,0 days 00:53:38.000000000,0 days 01:17:42.000000000
1,2,ALL; M; M1829,M,Денис,Шиков,0 days 01:03:16.000000000,0 days 01:39:40.000000000,0 days 00:18:58.000000000,0 days 00:21:21.000000000,0 days 01:04:30.000000000,0 days 01:39:40.000000000
2,3,ALL; M; M3039,M,Сергій,Муравинець,0 days 00:53:05.000000000,0 days 01:19:14.000000000,0 days 00:13:05.000000000,0 days 00:14:57.000000000,0 days 00:54:24.000000000,0 days 01:19:14.000000000
3,4,ALL; M; M3039,M,Максим,П'ятенко,0 days 01:03:03.000000000,0 days 01:34:11.000000000,0 days 00:15:12.000000000,0 days 00:18:05.000000000,0 days 01:04:05.000000000,0 days 01:34:11.000000000
4,5,ALL; M; M4049,M,Сергій,Поліщук,0 days 01:05:38.000000000,0 days 01:36:31.000000000,0 days 00:22:13.000000000,0 days 00:24:16.000000000,0 days 01:07:51.000000000,0 days 01:36:31.000000000
5,6,ALL; M; M3039,M,Андрей,Кузьмінчук,0 days 01:00:42.000000000,0 days 01:29:00.000000000,0 days 00:16:29.000000000,0 days 00:20:12.000000000,0 days 01:02:02.000000000,0 days 01:29:00.000000000
6,7,ALL; M; M4049,M,Сергей,Гуменюк,0 days 01:20:44.000000000,0 days 01:52:00.000000000,0 days 00:22:42.000000000,0 days 00:25:17.000000000,0 days 01:21:59.000000000,0 days 01:52:00.000000000
7,8,ALL; M; M4049,M,Олександр,Прит,0 days 00:57:43.000000000,0 days 01:23:16.000000000,0 days 00:16:30.000000000,0 days 00:19:04.000000000,0 days 00:58:48.000000000,0 days 01:23:16.000000000
8,9,ALL; M; M3039,M,Андрій,Крецул,0 days 01:00:10.000000000,0 days 01:28:12.000000000,0 days 00:15:05.000000000,0 days 00:17:25.000000000,0 days 01:01:18.000000000,0 days 01:28:12.000000000
9,10,ALL; M; M3039,M,Владимир,Гонцов,0 days 01:03:13.000000000,0 days 01:30:21.000000000,0 days 00:20:20.000000000,0 days 00:23:31.000000000,0 days 01:04:31.000000000,0 days 01:30:21.000000000
10,11,ALL; M; M3039,M,Олександр,Чурилович,0 days 01:07:36.000000000,0 days 01:36:56.000000000,0 days 00:21:55.000000000,0 days 00:24:21.000000000,0 days 01:08:41.000000000,0 days 01:36:56.000000000
11,12,ALL; M; M1829,M,Олександр,Прокопович,0 days 01:04:03.000000000,0 days 01:28:45.000000000,0 days 00:16:27.000000000,0 days 00:18:51.000000000,0 days 01:05:04.000000000,0 days 01:28:45.000000000
